Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards,,,,,,
2015,32,TOR,AL,129,507,12,-2,-3,-1,7,14,1.6,18,32,3.3,0.511,0.509,3.5,0.7,33,"$7,000,000 ",*2/D4,ASMVP-24,,,,,,
2015,28,TOR,AL,132,328,4,-1,-1,4,-5,1,0.2,12,13,1.3,0.501,0.501,0.9,0,9,"$1,000,000 ",*3/D,,,,,,,
2015,27,TOR,AL,128,428,-7,2,0,11,5,11,1.2,15,26,2.7,0.509,0.507,1.5,1.8,15,"$512,800 ",46/579,,,,,,,
2015,32,TOR,AL,69,311,-2,2,0,-9,3,-5,-0.5,11,5,0.6,0.492,0.497,1.5,-0.6,14,,6,,,,,,,
2015,29,TOR,AL,158,711,45,3,-2,11,2,60,6.5,24,84,8.8,0.54,0.539,7.7,1.5,73,"$4,300,000 ",*5/D,ASMVP-1SS,,,,,,
2015,27,TOR,AL,56,246,0,3,1,-4,-2,-3,-0.2,9,6,0.6,0.495,0.498,1,-0.6,10,,8-Jul,,,,,,,
2015,26,TOR,AL,159,628,-4,3,3,22,3,26,3,22,48,5.2,0.518,0.517,2.8,2.8,26,"$512,000 ",*87/9,,,,,,,
2015,34,TOR,AL,153,666,37,2,-3,-3,-8,25,2.8,23,48,5.1,0.517,0.516,5.4,-1.1,51,"$14,000,000 ",*9D,ASMVP-8,,,,,,
2015,32,TOR,AL,146,624,36,-1,-1,0,-11,23,2.6,22,45,4.7,0.517,0.515,4.8,-1.1,45,"$10,000,000 ",D3,MVP-12,,,,,,
2015,31,TOR,AL,101,360,19,0,-1,-19,-5,-6,-0.6,13,6,0.7,0.493,0.496,2.7,-2.5,25,,379D,,,,,,,
2015,30,TOR,AL,41,183,-1,0,0,6,2,6,0.7,6,13,1.4,0.517,0.504,0.7,0.9,7,"$20,000,000 ",6/D,AS,,,,,,
2015,31,TOR,AL,54,192,-4,-1,1,2,2,0,0.1,7,7,0.7,0.5,0.5,0.5,0.4,5,"$5,000,000 ",2D,,,,,,,
2015,28,TOR,AL,91,192,-2,0,1,-10,-3,-15,-1.5,7,-8,-0.9,0.483,0.49,0.2,-1.4,2,,79/8D,,,,,,,