Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2015,30,SDP,NL,154,648,9,2,-2,-15,-6,-12,-1.4,21,9,0.6,0.492,0.492,2.2,-2.4,24,"$21,250,000 ",*9/D,
2015,27,SDP,NL,152,571,8,-1,-1,-1,1,5,0.4,19,24,2.2,0.504,0.503,2.3,-0.1,25,"$516,400 ",534/D,
2015,27,SDP,NL,150,620,18,4,0,8,-6,24,2.4,20,44,4.4,0.517,0.516,3.5,0.2,36,"$14,500,000 ",*7/D,AS
2015,26,SDP,NL,147,557,2,-2,1,1,7,8,0.8,18,26,2.5,0.506,0.506,2.4,0.8,25,"$545,000 ",*23/D,
2015,26,SDP,NL,128,458,-3,0,-2,-6,4,-8,-0.9,15,7,0.6,0.494,0.495,1.2,-0.3,13,"$2,000,000 ",46/3D,
2015,26,SDP,NL,118,357,-21,2,1,0,5,-14,-1.6,12,-2,-0.5,0.487,0.49,-0.5,0.4,-2,"$1,150,000 ",647/851,
2015,24,SDP,NL,108,345,2,2,1,3,2,10,1,11,22,2.1,0.51,0.507,1.8,0.5,19,"$508,500 ",45/98D7,
2015,28,SDP,NL,103,402,5,-1,-1,9,-5,6,0.6,13,19,1.8,0.506,0.504,0.8,0.3,10,"$1,650,000 ",5-Mar,
2015,32,SDP,NL,98,308,-2,4,0,-6,0,-5,-0.6,10,5,0.4,0.495,0.497,1,-0.7,11,"$4,250,000 ",897,
2015,36,SDP,NL,98,224,-4,-1,1,-3,3,-4,-0.4,7,4,0.2,0.496,0.498,0.6,0,7,"$1,300,000 ",3-Jun,
2015,30,SDP,NL,87,228,5,-1,1,2,1,8,0.9,7,16,1.6,0.51,0.506,1.4,0.3,14,"$14,450,000 ",8,
2015,26,SDP,NL,83,270,-12,0,0,-7,2,-17,-1.9,9,-8,-1.1,0.477,0.488,-0.3,-0.6,-1,"$540,500 ",May-63,
2015,28,SDP,NL,64,107,6,0,0,-2,-1,3,0.3,3,6,0.6,0.505,0.502,0.9,-0.3,8,,3/5D,